job,wages,welfare,location,req
['Java开发工程师'],['1.5-2万/月'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '专业培训', '员工旅游', '股票期权', '年终奖金', '通讯补贴', '定期体检']",['杭州\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['岗位职责：', '1.负责后端java核心功能模块，接口的设计、开发；2.快速定位解决开发过程及线上中的技术问题；3.完成相关技术文档的输出；4.主导团队开发人员工作，并能提供性能优化、安全性建议；5.针对新人、普通开发人员进行有效辅导，帮助其快速成长；', '任职要求：', '1.本科以上学历，5年及以上java开发经验，精通java，精通java技术框架，对技术有热情和追求；2.熟悉分布式系统(比如spring\xa0cloud、dubbo等)的设计和应用，熟悉分布式、缓存、消息队列等机制，能对分布式常用技术进行合理应用，解决问题；3.精通多线程及高性能设计与编码及性能调优，有高并发应用开发经验；4.精通linux操作系统和大型数据库;5.能领导中型项目开发，有效把控项目开发进度；6.能指导和培养工程师；7.有良好的抽象设计能力和逻辑性，善于独立分析及解决问题；8.有良好团队合作精神']"
['Java开发工程师'],['12-25万/年'],"['五险一金', '餐饮补贴', '专业培训', '年终奖金', '绩效奖金', '弹性工作', '定期体检', '补充医疗保险', '周末双休']",['杭州\xa0\xa0|\xa0\xa02年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招3人\xa0\xa0|\xa0\xa001-22发布'],[]
['java开发工程师 (职位编号：10103051)'],['15-20万/年'],[],['青岛\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],[]
['Java开发工程师'],['1-1.6万/月'],"['五险一金', '补充医疗保险', '节日福利', '定期体检', '带薪年假']",['深圳-南山区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招5人\xa0\xa0|\xa0\xa001-22发布'],"['1、负责平台类产品的开发工作，确保稳定性、可靠性和扩展性；', '2、负责手机服务端类产品的开发工作，确保其稳定性和抗压性；', '岗位要求：\xa0', '1、JAVA基础扎实，熟练掌握IO、多线程、集合等基础类库，熟悉常用设计模式，熟悉linux常用操作，熟悉shell，熟悉CI/CD；\xa0', '2、熟悉Spring\xa0MVC/SpringBoot，有SpringCloud或Dubbo等微服务架构开发经验；', '3、熟悉常见的分布式技术，如分布式缓存（Redis）、分布式消息中间件（MQ）、分布式日志系统（Kafka）、分布式锁、分布式事务等技术；', '4、熟练使用MySql数据库，熟练Sql编程，了解MongoDB，能进行高可用的数据存储方案者优先；\xa0', '5、了解Hive、HBase、Druid、Kylin等大数据存储组件，了解AirFlow、Spark、Flink等大数据计算框架，有以上的实战经验者优先；', '6、能清晰地理解平台业务与需求，能协助解决用户日常反馈问题，责任心强，做事主动负责，能承受一定压力。']"
['Java开发工程师'],['1-1.5万/月'],"['周末双休', '节日补贴', '带薪年假', '年终奖金', '餐饮补贴', '社会保险']",['合肥-高新区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['岗位职责：', '1、根据开发需求，进行相关软件开发工作；', '2、独立完成后台服务以及相关接口编写，独立分析并解决软件开发过程中的问题；', '3、具备良好的沟通能力；', '4、能承受一定的工作压力', '任职资格:', '1、计算机软件或相关专业，本科及以上学历；具备2年以上JAVA开发工作经验。', '2、熟练使用Java语言以及Spring、SpringMVC、Mybatis等主流框架', '3、熟悉Oracle/mysql等关系型数据库和MongoDB/Redis等NoSQL数据库；', '4、具有良好的编程习惯以及面向对象的思维；', '5、熟悉http、https、TCP/IP等常用的网络通信协议原理，熟悉常用的Restful、SOAP接口规则', '6、熟悉linux操作，会常用的mysql、tomcat、redis，RabbitMQ等常用软件部署。', '7、良好的学习能力，能够快速学习一门新技术并实践；', '8、有开发过2B项目开发经验者优先。', '我们的福利：', '为了追求更卓越的表现，在市场上赢得人才，我们有一套完整的薪酬福利体系，主要包括：', '社会保险、午餐补贴、节日补贴、带薪年假、年终奖金、加班调休/餐补']"
['Java  开发'],['1-2万/月'],"['五险一金', '带薪年假']",['上海-静安区\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['我们无法保证你的工作轻松无压力，', '却能给你行业最新最潮的专业平台。', '我们欣赏个性张扬的你，鼓励你尽情放飞自我，', '你与美好生活的距离，可能就差这一份工作了。', '你可以申请不来公司在家里工作，', '时间自己安排，不赶公交不打卡，', '我们不在意你白天躺吃半夜工作，', '我们鼓励你兼顾学习、生活与工作，', '只要完成任务，一周有6.5天都将是周末。', '专业的历练，弹性的工作，你心动了么？', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']"
['Java工程师'],['1-1.5万/月'],"['五险一金', '弹性工作', '专业培训', '年终奖金', '定期团建']",['北京-西城区\xa0\xa0|\xa0\xa02年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招若干人\xa0\xa0|\xa0\xa001-22发布'],"[')负责在现有平台上进行功能模块设计，开发及单元测试；', '2)参与公司产品的开发，按时保质完成软件开发项目；', '3)根据项目的需求说明或模块的设计文档，完成软件的编程工作；', '4)协助并快速定位及解决开发及运维过程中的技术问题；', '5)不定期出差，协助项目开发', '任职条件：', '1)计算机、网络、自动化相关专业本科及以上学历，2年以上工作经验；', '2)熟悉j2ee\xa0web开发，熟悉ssm三大框架，熟悉Linux操作系统；', '3)熟悉JSP、Ajax等WEB技术，熟悉Struts2、WebService等主流的开源框架或技术规范；', '4)熟悉MySQL，熟练使用MySQL/Oracle数据库，拥有较好的数据库设计能力；', '5）熟悉前端开发框架Vue，React等主流流行前端框架', '6)具有良好的语言沟通能力，良好的团队协作精神，自学能力强。', '7）有大数据相关经验优先', '8）有电力系统，工业物联网项目开发经验优先']"
['Java架构师'],['2-3万/月'],"['带薪年假', '全勤奖', '节日福利', '专业培训']",['广州-黄埔区\xa0\xa0|\xa0\xa05-7年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['1.熟悉微服务框架\xa0spring\xa0boot,spring\xa0cloud,alibaba\xa0cloud\xa0\xa0\xa0', '2.做过微服务的自动化部署\xa0docker,docker\xa0swarm,k8s\xa0\xa0\xa0', '3.熟悉jvm结构，和相关的调优工作\xa0\xa0\xa0', '4.精通各种中间件，redis,mongodb,kafka,rabbit\xa0mq,elastics\xa0search,mysql\xa0等\xa0\xa0\xa0', '5.可以做一部分的运维工作\xa0\xa0\xa0', '6.使用过go,python,具备一定的开发经验', '大小周\xa08:30-12:00\xa013:40-18:00']"
['JAVA开发工程师'],['6-8千/月'],"['五险一金', '绩效奖金']",['广州-天河区\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布\xa0\xa0|\xa0\xa0英语良好'],"[' ', '1.\xa0需求分析、系统设计工作，完成系统需求分析、设计说明书编写；\xa0', '2.\xa0负责按照要求完成各类设计文档，并参与开发。\xa0', '3.\xa0使用JAVA与数据库语言进行项目开发。\xa0', '1.\xa0男女不限、形象较好；\xa0', '2.\xa0大专（含）以上学历，无任何不良过往记录；\xa0', '3.\xa0年龄20-30岁；\xa0', '4.\xa0具备1年以上的开发经验、良好的沟通能力，能承受强大工作压力、乐于接受挑战；\xa0', '\xa0', '有意者欢迎预约面试；\xa0', '投简历前，请应聘者详细阅读我公司资料，以免浪费双方宝贵的时间。\xa0', '注：为方便大家沟通，方便的话请应聘者附一张近照，谢谢。']"
['技术总监 Java开发工程师'],['4-6千/月'],[],['郑州-经开区\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['1、本科以上学历，计算专业毕业，1-3年JAVA开发经验，有从事电商仓储（WMS）产品系统等系统开发经验优先。', '2、熟悉Struts、Spring、Hibernate、Ajax等架构及编程思想，能把握大中型JAVA\xa0项目的设计和开发。', '3、SQL脚本编写、熟悉oracle产品基本的功能。', '4、思维灵活，解决问题能力强，能在产品开发过程中对产品解决方案有个人思维或建议，对新鲜事物或功能有较快的研究开发能力。', '5、有能力参与核心架构代码编写，能够指导、安排本部门人员工作，并监督、检査执行情况。', '6、具有较强的领导能力，有较强的判断、决策、计划与执行能力，良好的人际关系协调和沟通能力；', '7、具备较强的服务意识，良好的敬业精神与团队合作精神，优秀的沟通、协调能力，抗压能力强；']"
