saray,num
1-1.5万/月,395
1.5-2万/月,226
0.8-1万/月,138
1.5-2.5万/月,134
1-2万/月,125
0.8-1.5万/月,112
6-8千/月,104
0.8-1.2万/月,85
0.6-1万/月,67
2-2.5万/月,59
1.2-1.8万/月,59
0.6-1.2万/月,55
1.5-3万/月,51
1-1.8万/月,48
1.2-2万/月,47
2-3万/月,43
0.7-1.2万/月,37
0.8-1.3万/月,35
0.5-1万/月,31
2.5-3万/月,31
5-8千/月,29
4.5-6千/月,28
2-4万/月,24
0.8-2万/月,24
1.8-2.5万/月,23
1.2-1.5万/月,23
2-3.5万/月,23
0.9-1.5万/月,22
1.3-2万/月,22
0.7-1万/月,21
0.8-1.6万/月,21
0.7-1.5万/月,21
0.6-1.5万/月,21
10-15万/年,20
4-8千/月,19
1-2.5万/月,19
6-9千/月,17
1-1.6万/月,17
1.5-2.2万/月,16
15-20万/年,16
1.2-1.6万/月,14
3-4万/月,13
1.3-1.8万/月,12
2.5-3.5万/月,12
4-6千/月,12
1.2-2.4万/月,11
20-30万/年,11
0.9-1.2万/月,11
7-9千/月,11
1-1.2万/月,10
1.2-1.7万/月,10
1.1-2万/月,10
1.2-2.5万/月,9
1.5-1.8万/月,9
0.7-1.4万/月,9
0.7-1.3万/月,9
1.8-2万/月,9
0.9-1.4万/月,8
15-30万/年,8
1.4-1.8万/月,7
1.2-2.2万/月,7
5-7千/月,7
1.3-2.5万/月,7
2.5-4万/月,7
0.6-2万/月,7
0.9-1.3万/月,7
0.4-1万/月,7
0.8-1.4万/月,7
1-3万/月,6
15-25万/年,6
1.3-2.6万/月,6
1.1-1.8万/月,6
0.5-1.2万/月,6
1.8-2.2万/月,6
1.5-2.3万/月,6
20-40万/年,6
0.8-1.1万/月,5
2.5-5万/月,5
0.5-1.5万/月,5
1-1.4万/月,5
1-1.3万/月,5
1-1.7万/月,5
0.4-1.5万/月,5
1.8-2.8万/月,5
5-9千/月,5
3-6万/月,4
4-5千/月,4
4-5万/月,4
0.6-1.1万/月,4
3-4.5千/月,4
0.8-1.8万/月,4
1.1-1.6万/月,4
1.3-1.6万/月,4
2-2.8万/月,3
1.5-4万/月,3
1.2-2.3万/月,3
1.8-3.5万/月,3
2.5-4.5万/月,3
4.5-7千/月,3
0.9-2万/月,3
1.1-1.5万/月,3
0.6-1.3万/月,3
8-15万/年,3
40-50万/年,3
1.4-2万/月,3
1.4-2.5万/月,3
10-20万/年,3
8-10万/年,3
7-8千/月,3
1.1-1.3万/月,3
3.5-4.5万/月,3
1.6-3万/月,3
0.6-1.8万/月,3
0.9-1.6万/月,3
0.7-1.1万/月,3
3-4.5万/月,3
6-12万/年,2
3-3.5万/月,2
8-9千/月,2
